"A3","13337","Anna"
"AW","91","Amalia Wilhelmina"
"C5","10500","Karl V."
"C6","10600","Karl VI."
"CF","16085","Klaudia Felizitas"
"E2","10108","Eleonora II."
"E3","10950","Eleonora III."
"E4","90","Eleonora IV."
"ES","13900","Ernst"
"F1","10200","Ferdinand I."
"F2","10012","Ferdinand II."
"F3","10001","Ferdinand III."
"F4","10040","Ferdinand IV."
"FR","14000","Friedrich III."
"J1","11000","Joseph I."
"JC","11200","Johann Karl"
"L1","10050","Leopold I."
"LW","10006","Leopold Wilhelm"
"M1","10300","Maximilian I."
"M2","10060","Maximilian II."
"MAJ","92","Maria Anna Josepha"
"MAT","11340","Antonia"
"MS","10090","Matthias"
"MT","20000","Maria Theresia"
"R2","10080","Rudolf II."
